line,band_idx,svg_x,mile_from_terminal,abs_mile,carrier,score,has_reception
1,0,639,12.417,11.481,sprint,0.0,False
1,0,644,12.521,11.586,att,0.0,False
1,0,644,12.521,11.586,tmobile,0.0,False
1,0,644,12.521,11.586,verizon,0.1538,True
1,0,644,12.521,11.586,sprint,0.0,False
1,0,649,12.626,11.69,att,0.0,False
1,0,649,12.626,11.69,tmobile,0.0385,True
1,0,649,12.626,11.69,verizon,0.0769,True
1,0,649,12.626,11.69,sprint,0.0,False
1,0,654,12.73,11.794,att,0.0,False
1,0,654,12.73,11.794,tmobile,0.0,False
1,0,654,12.73,11.794,verizon,0.0769,True
1,0,654,12.73,11.794,sprint,0.0,False
1,0,659,12.834,11.899,att,0.0,False
1,0,659,12.834,11.899,tmobile,0.0,False
1,0,659,12.834,11.899,verizon,0.0,False
1,0,659,12.834,11.899,sprint,0.0385,True
1,0,664,12.939,12.003,att,0.0,False
1,0,664,12.939,12.003,tmobile,0.0385,True
1,0,664,12.939,12.003,verizon,0.0385,True
1,0,664,12.939,12.003,sprint,0.0,False
1,0,669,13.043,12.107,att,0.0,False
1,0,669,13.043,12.107,tmobile,0.0,False
1,0,669,13.043,12.107,verizon,0.0,False
1,0,669,13.043,12.107,sprint,0.0,False
1,0,674,13.147,12.212,att,0.0,False
1,0,674,13.147,12.212,tmobile,0.0769,True
1,0,674,13.147,12.212,verizon,0.1923,True
1,0,674,13.147,12.212,sprint,0.0,False
1,0,679,13.252,12.316,att,0.0,False
1,0,679,13.252,12.316,tmobile,0.0,False
1,0,679,13.252,12.316,verizon,0.0,False
1,0,679,13.252,12.316,sprint,0.0,False
1,0,684,13.356,12.42,att,0.0,False
1,0,684,13.356,12.42,tmobile,0.0,False
1,0,684,13.356,12.42,verizon,0.0769,True
1,0,684,13.356,12.42,sprint,0.0,False
1,0,689,13.46,12.525,att,0.0,False
1,0,689,13.46,12.525,tmobile,0.0,False
1,0,689,13.46,12.525,verizon,0.0,False
1,0,689,13.46,12.525,sprint,0.0,False
1,0,694,13.565,12.629,att,0.0,False
1,0,694,13.565,12.629,tmobile,0.0,False
1,0,694,13.565,12.629,verizon,0.0769,True
1,0,694,13.565,12.629,sprint,0.0,False
1,0,699,13.669,12.733,att,0.0,False
1,0,699,13.669,12.733,tmobile,0.0,False
1,0,699,13.669,12.733,verizon,0.0385,True
1,0,699,13.669,12.733,sprint,0.0,False
1,0,704,13.773,12.838,att,0.0,False
1,0,704,13.773,12.838,tmobile,0.0,False
1,0,704,13.773,12.838,verizon,0.0,False
1,0,704,13.773,12.838,sprint,0.0,False
1,0,709,13.878,12.942,att,0.0,False
1,0,709,13.878,12.942,tmobile,0.0,False
1,0,709,13.878,12.942,verizon,0.0,False
1,0,709,13.878,12.942,sprint,0.0,False
1,0,714,13.982,13.046,att,0.1154,True
1,0,714,13.982,13.046,tmobile,0.0385,True
1,0,714,13.982,13.046,verizon,0.0,False
1,0,714,13.982,13.046,sprint,0.0,False
1,0,719,14.086,13.151,att,0.0,False
1,0,719,14.086,13.151,tmobile,0.0,False
